LAT,LON,UTCTIMESOD,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
-65.395759,98.790361,10043.8214,  0.00,1650.5704,2019111501001,1657.19,1657.19,1
-65.395790,98.790049,10043.9292,  0.00,1649.3839,2019111501001,1657.19,1657.19,1
-65.395822,98.789736,10044.0370,  0.00,1648.1980,2019111501001,1657.19,1657.19,1
-65.395853,98.789424,10044.1448,  0.00,1647.0123,2019111501001,1657.19,1657.19,1
-65.395885,98.789111,10044.2526,  0.00,1645.8272,2019111501001,1657.19,1657.19,1
-65.395916,98.788798,10044.3604,  0.00,1644.6425,2019111501001,1657.15,1657.15,1
-65.395948,98.788486,10044.4682,  0.00,1643.4581,2019111501001,1656.59,1656.59,1
-65.395980,98.788173,10044.5760,  0.00,1642.2742,2019111501001,1654.81,1654.81,1
-65.396011,98.787861,10044.6838,  0.00,1641.0905,2019111501001,1652.01,1652.01,1
-65.396043,98.787548,10044.7915,  0.00,1639.9073,2019111501001,1648.93,1648.93,1
-65.396074,98.787235,10044.8993,  0.00,1638.7242,2019111501001,1645.86,1645.86,1
-65.396106,98.786923,10045.0070,  0.00,1637.5413,2019111501001,1643.08,1643.08,1
-65.396138,98.786610,10045.1147,  0.00,1636.3585,2019111501001,1641.28,1641.28,1
-65.396169,98.786298,10045.2225,  0.00,1635.1758,2019111501001,1640.62,1640.62,1
-65.396201,98.785985,10045.3302,  0.00,1633.9933,2019111501001,1640.52,1640.52,1
-65.396233,98.785673,10045.4379,  0.00,1632.8112,2019111501001,1640.52,1640.52,1
-65.396265,98.785360,10045.5456,  0.00,1631.6292,2019111501001,1640.52,1640.52,1
-65.396296,98.785048,10045.6532,  0.00,1630.4476,2019111501001,1640.52,1640.52,1
-65.396328,98.784735,10045.7609,  0.00,1629.2662,2019111501001,1640.52,1640.52,1
-65.396360,98.784423,10045.8686,  0.00,1628.0851,2019111501001,1640.27,1640.27,1
-65.396392,98.784110,10045.9762,  0.00,1626.9042,2019111501001,1639.15,1639.15,1
-65.396424,98.783798,10046.0839,  0.00,1625.7235,2019111501001,1636.87,1636.87,1
-65.396456,98.783485,10046.1915,  0.00,1624.5428,2019111501001,1634.31,1634.31,1
-65.396487,98.783173,10046.2992,  0.00,1623.3624,2019111501001,1632.71,1632.71,1
-65.396519,98.782860,10046.4068,  0.00,1622.1818,2019111501001,1632.16,1632.16,1
